cow_id,date,produccion_kg,ubre,destino_leche,ms,source_file,days_in_milk,lactation_age,weekday,month,group_id,pressure_msl,eventos_pdf_count,eventos_pdf_text,kg_am,kg_pm,kg_totales,sobrante,consumo,rechazo,kg_consumido_por_vaca,promedio_corral,sobrante_pct,consumo_pct,diet_period,n_ingredientes,diet_dm_total,diet_wet_total,diet_pct_ms_total,usa_oro_milk,usa_oro_balance,usa_silo_maiz,usa_silo_avena,usa_ensilado,usa_heno,usa_triticale,usa_melaza,mes_merge,anio,mes,dia_mes,dia_semana,es_fin_de_semana,dia_del_anio,mes_sin,mes_cos,dia_semana_sin,dia_semana_cos,produccion_lag_1,produccion_lag_2,produccion_lag_3,produccion_lag_7,delta_produccion_1d,delta_produccion_3d,produccion_roll_mean_3,produccion_roll_mean_7,produccion_roll_std_3,produccion_roll_std_7,kg_am_lag_1,kg_am_roll_mean_3,kg_pm_lag_1,kg_pm_roll_mean_3,kg_totales_lag_1,kg_totales_roll_mean_3,sobrante_lag_1,sobrante_roll_mean_3,consumo_lag_1,consumo_roll_mean_3,rechazo_lag_1,rechazo_roll_mean_3,kg_consumido_por_vaca_lag_1,kg_consumido_por_vaca_roll_mean_3,promedio_corral_lag_1,promedio_corral_roll_mean_3,sobrante_pct_lag_1,sobrante_pct_roll_mean_3,consumo_pct_lag_1,consumo_pct_roll_mean_3,ratio_sobrante_consumo,ratio_consumo_oferta,ratio_sobrante_oferta
1204,2025-01-01,16.68,0,Tanque,VMS 1,Producciones de leche1204.xls,,,,,,1019.2833333333333,,,4000.0,4000.0,8000.0,10.0,7990.0,,,,0.001282051282051282,0.9987179487179487,dieta Mayo,5,,,,1,0,0,0,0,0,1,1,2025-01,2025,1,1,2,0,1,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012515644555694619,0.99875,0.00125
1204,2025-01-02,17.91,1,Divert 3,VMS 1,Producciones de leche1204.xls,,,,,,1022.5041666666666,,,3950.0,3950.0,7900.0,710.0,7190.0,,,,0.09533475783475782,0.9046652421652421,dieta Mayo,5,,,,1,0,0,0,0,0,1,1,2025-01,2025,1,2,3,0,2,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,16.68,,,,1.2300000000000004,,,,,,4000.0,,4000.0,,8000.0,,10.0,,7990.0,,,,,,,,0.001282051282051282,,0.9987179487179487,,0.09874826147426982,0.910126582278481,0.08987341772151898
1204,2025-01-03,25.36,1,Tanque,VMS 1,Producciones de leche1204.xls,,,,,,1023.9875000000001,,,3950.0,3900.0,7850.0,275.0,7575.0,,,,0.035444647944647946,0.9645553520553521,dieta Mayo,5,,,,1,0,0,0,0,0,1,1,2025-01,2025,1,3,4,0,3,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,17.91,16.68,,,7.449999999999999,,,,,,3950.0,,3950.0,,7900.0,,710.0,,7190.0,,,,,,,,0.09533475783475782,,0.9046652421652421,,0.036303630363036306,0.964968152866242,0.03503184713375796
1204,2025-01-04,16.71,1,Tanque,VMS 1,Producciones de leche1204.xls,,,,,,1020.8166666666666,,,3950.0,3950.0,7900.0,395.0,7505.0,,,,0.05179843304843305,0.948201566951567,dieta Mayo,5,,,,1,0,0,0,0,0,1,1,2025-01,2025,1,4,5,1,4,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,25.36,17.91,16.68,,-8.649999999999999,0.030000000000001137,19.983333333333334,,4.696768392558155,,3950.0,3966.6666666666665,3900.0,3950.0,7850.0,7916.666666666667,275.0,331.6666666666667,7575.0,7585.0,,,,,,,0.035444647944647946,0.044020485687152354,0.9645553520553521,0.9559795143128477,0.05263157894736842,0.95,0.05
1204,2025-01-05,25.04,1,Tanque,VMS 1,Producciones de leche1204.xls,,,,,,1018.5041666666666,,,3950.0,3950.0,7900.0,505.0,7395.0,,,,0.06647241647241647,0.9335275835275835,dieta Mayo,5,,,,1,0,0,0,0,0,1,1,2025-01,2025,1,5,6,1,5,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,16.71,25.36,17.91,,8.329999999999998,7.129999999999999,19.993333333333336,,4.686238719200434,,3950.0,3950.0,3950.0,3933.3333333333335,7900.0,7883.333333333333,395.0,460.0,7505.0,7423.333333333333,,,,,,,0.05179843304843305,0.06085927960927961,0.948201566951567,0.9391407203907205,0.068289384719405,0.9360759493670886,0.06392405063291139
1204,2025-01-06,10.39,1,Tanque,VMS 1,Producciones de leche1204.xls,,,,,,1020.1750000000001,,,3950.0,3900.0,7850.0,850.0,7000.0,,,,0.11031818181818182,0.8896818181818182,dieta Mayo,5,,,,1,0,0,0,0,0,1,1,2025-01,2025,1,6,0,0,6,0.49999999999999994,0.8660254037844387,0.0,1.0,25.04,16.71,25.36,,-14.649999999999999,-14.969999999999999,22.37,,4.904314427114148,,3950.0,3950.0,3950.0,3933.3333333333335,7900.0,7883.333333333333,505.0,391.6666666666667,7395.0,7491.666666666667,,,,,,,0.06647241647241647,0.05123849915516582,0.9335275835275835,0.9487615008448342,0.12142857142857143,0.89171974522293,0.10828025477707007
1204,2025-01-07,23.96,1,Tanque,VMS 1,Producciones de leche1204.xls,,,,,,1020.4541666666668,,,3950.0,3850.0,7800.0,450.0,7350.0,,,,0.061797461797461796,0.9382025382025382,dieta Mayo,5,,,,1,0,0,0,0,0,1,1,2025-01,2025,1,7,1,0,7,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,10.39,25.04,16.71,,13.57,7.25,17.38,,7.347945291032042,,3950.0,3950.0,3900.0,3933.3333333333335,7850.0,7883.333333333333,850.0,583.3333333333334,7000.0,7300.0,,,,,,,0.11031818181818182,0.07619634377967711,0.8896818181818182,0.9238036562203229,0.061224489795918366,0.9423076923076923,0.057692307692307696
1204,2025-01-08,24.79,1,Tanque,VMS 1,Producciones de leche1204.xls,,,,,,1021.6458333333334,,,3950.0,3950.0,7900.0,290.0,7610.0,,,,0.03662770562770563,0.9633722943722943,dieta Mayo,5,,,,1,0,0,0,0,0,1,1,2025-01,2025,1,8,2,0,8,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,23.96,10.39,25.04,16.68,0.8299999999999983,-0.25,19.796666666666667,19.435714285714287,8.164290130399172,5.57001752583376,3950.0,3950.0,3850.0,3900.0,7800.0,7850.0,450.0,601.6666666666666,7350.0,7248.333333333333,,,,,,,0.061797461797461796,0.0795293533626867,0.9382025382025382,0.9204706466373134,0.03810775295663601,0.9632911392405064,0.03670886075949367
1204,2025-01-09,32.44,0,Tanque,VMS 1,Producciones de leche1204.xls,,,,,,1016.6666666666666,,,4200.0,4450.0,8650.0,810.0,7840.0,,,,0.09970159151193635,0.9002984084880636,dieta Mayo,5,,,,1,0,0,0,0,0,1,1,2025-01,2025,1,9,3,0,9,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,24.79,23.96,10.39,17.91,7.649999999999999,22.049999999999997,19.713333333333335,20.594285714285714,8.08490156608807,5.742081089474028,3950.0,3950.0,3950.0,3900.0,7900.0,7850.0,290.0,530.0,7610.0,7320.0,,,,,,,0.03662770562770563,0.06958111641444975,0.9633722943722943,0.9304188835855504,0.10331632653061225,0.9063583815028902,0.09364161849710982
1204,2025-01-10,28.799999999999997,0,Tanque,VMS 1,Producciones de leche1204.xls,,,,,,1014.0583333333334,,,4250.0,3900.0,8150.0,390.0,7760.0,,,,0.0544354657687991,0.945564534231201,dieta Mayo,5,,,,1,0,0,0,0,0,1,1,2025-01,2025,1,10,4,0,10,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,32.44,24.79,23.96,25.36,-3.6400000000000006,4.839999999999996,27.063333333333333,22.669999999999998,4.674786982669197,7.080306019751783,4200.0,4033.3333333333335,4450.0,4083.3333333333335,8650.0,8116.666666666667,810.0,516.6666666666666,7840.0,7600.0,,,,,,,0.09970159151193635,0.06604225297903459,0.9002984084880636,0.9339577470209655,0.05025773195876289,0.9521472392638037,0.04785276073619632
